num_jobs,num_processors,cooling_method,final_cost,execution_time
256000,200,boltzmann,70574.6,61.915242958068845
256000,200,kosh,70802.6,24.361672925949097
256000,200,SM,70240.8,16.73036332130432
256000,160,boltzmann,86381.6,44.33952922821045
256000,160,kosh,86783.4,8.947727394104003
256000,160,SM,86654.6,17.361600828170776
256000,80,boltzmann,169528.0,20.072974586486815
256000,80,kosh,171403.8,7.659472322463989
256000,80,SM,170308.6,6.387731599807739
256000,40,boltzmann,333071.8,13.319250392913819
256000,40,kosh,332916.2,4.735328626632691
256000,40,SM,334117.4,4.78223729133606
128000,200,boltzmann,36062.2,31.366980838775635
128000,200,kosh,36473.6,10.24920587539673
128000,200,SM,36169.0,8.454333305358887
128000,160,boltzmann,44398.6,36.014455270767215
128000,160,kosh,45240.0,6.0012000560760494
128000,160,SM,45226.8,5.866527128219604
128000,80,boltzmann,86727.2,7.040740060806274
128000,80,kosh,86402.0,3.9098694801330565
128000,80,SM,86051.0,3.5367972373962404
128000,40,boltzmann,169304.2,6.98707594871521
128000,40,kosh,169856.0,2.8875988483428956
128000,40,SM,168725.6,2.157310199737549
64000,200,boltzmann,18814.0,16.3500958442688
64000,200,kosh,18743.0,4.6195894241333
64000,200,SM,18792.8,4.240612936019898
64000,160,boltzmann,23224.6,9.975463819503783
64000,160,kosh,23260.6,2.043545436859131
64000,160,SM,23084.4,3.4954395294189453
64000,80,boltzmann,44322.2,4.312468004226685
64000,80,kosh,44317.6,1.1695990562438965
64000,80,SM,44698.6,1.8095832824707032
64000,40,boltzmann,85932.6,2.10571403503418
64000,40,kosh,86124.8,1.0648499011993409
64000,40,SM,85195.4,1.4051766395568848
32000,200,boltzmann,10106.2,7.921110677719116
32000,200,kosh,10049.0,2.08845796585083
32000,200,SM,9897.6,2.207054281234741
32000,160,boltzmann,12421.6,10.565237522125244
32000,160,kosh,12399.0,2.0802871227264403
32000,160,SM,12220.8,2.2500921726226806
32000,80,boltzmann,22665.4,4.473495578765869
32000,80,kosh,23831.4,1.1866690158843993
32000,80,SM,23151.6,1.2104479789733886
32000,40,boltzmann,44779.8,1.6661613941192628
32000,40,kosh,43698.4,0.5930586338043213
32000,40,SM,43596.0,0.5674985885620117
16000,200,boltzmann,5344.8,3.1663938999176025
16000,200,kosh,5503.4,0.8715551376342774
16000,200,SM,5517.6,0.9328542709350586
16000,160,boltzmann,6530.6,3.0605915546417237
16000,160,kosh,6633.8,0.7397572994232178
16000,160,SM,6538.2,0.8846187591552734
16000,80,boltzmann,11832.0,1.3071710586547851
16000,80,kosh,12402.8,0.32121920585632324
16000,80,SM,12173.8,0.3705469608306885
16000,40,boltzmann,23462.6,0.5303166389465332
16000,40,kosh,22499.2,0.26959919929504395
16000,40,SM,22363.8,0.38251028060913084
